#  Symb ;    Unic ;  #Freq ;                                   Description	  ; Symb ; arabic_algerian_pseudo_maghribi	; Symb ; arabic_amriki_typeface	; Symb ; arabic_bulaq_ii_typeface	; Symb ; arabic_bulaq_i_typeface	; Symb ; arabic_decotype_typeface	; Symb ; arabic_lotus_linotype	; Symb ; arabic_simplified_typeface	; Symb ; arabic_traditional_typeface	; Symb ; backwards_ya_typeface	; Symb ; eurarabic_i	; Symb ; ottoman_naskh_ii_typeface	; Symb ; ottoman_naskh_i_typeface	; Symb ; ottoman_turkish_naskh_i	; Symb ; ottoman_turkish_naskh_ii	; Symb ; persian_amriki	; Symb ; persian_incunabula	; Symb ; persian_intertype	; Symb ; persian_lotus_linotype_typeface	; Symb ; persian_monotype	; Symb ; persian_watts_typeface	; Symb ; russian_persian_typeface	; Symb ; urdu_naskh_typeface	; Symb ; urdu_nastaliq_typeface
    ﻞ   ;  \ufede ;   5755 ;                  ARABIC LETTER LAM FINAL FORM	  ;  ﻞ   ;     63	                         ;  ﻞ   ;    348	                ;  ﻞ   ;    392	                  ;  ﻞ   ;   1099	                 ;  ﻞ   ;    255	                  ;  ﻞ   ;    216	               ;  ﻞ   ;    197	                    ;  ﻞ   ;    295	                     ;  ﻞ   ;    112	               ;  ﻞ   ;    178	     ;  ﻞ   ;    325	                   ;  ﻞ   ;    444	                  ;  ﻞ   ;    133	                 ;  ﻞ   ;     35	                  ;  ﻞ   ;     10	        ;  ﻞ   ;     27	            ;  ﻞ   ;    137	           ;  ﻞ   ;    564	                         ;  ﻞ   ;     77	          ;  ﻞ   ;    262	                ;  ﻞ   ;     26	                  ;  ﻞ   ;    125	             ;  ﻞ   ;    435
    )   ;       ) ;   1607 ;                             RIGHT PARENTHESIS	  ;  )   ;      2	                         ;  )   ;      5	                ;  )   ;     36	                  ;  )   ;    436	                 ;  )   ;     72	                  ;  )   ;      5	               ;  )   ;    212	                    ;  )   ;    134	                     ;  )   ;    131	               ;  )   ;      0	     ;  )   ;    136	                   ;  )   ;    157	                  ;  )   ;      0	                 ;  )   ;      5	                  ;  )   ;      0	        ;  )   ;      0	            ;  )   ;     34	           ;  )   ;     73	                         ;  )   ;     37	          ;  )   ;     71	                ;  )   ;      6	                  ;  )   ;     14	             ;  )   ;     41
    ﻻ   ;  \ufefb ;   7730 ;   ARABIC LIGATURE LAM WITH ALEF ISOLATED FORM	  ;  ﻻ   ;     95	                         ;  ﻻ   ;    607	                ;  ﻻ   ;    765	                  ;  ﻻ   ;   1639	                 ;  ﻻ   ;    285	                  ;  ﻻ   ;    621	               ;  ﻻ   ;    253	                    ;  ﻻ   ;    443	                     ;  ﻻ   ;    324	               ;  ﻻ   ;    252	     ;  ﻻ   ;    592	                   ;  ﻻ   ;    732	                  ;  ﻻ   ;    142	                 ;  ﻻ   ;     36	                  ;  ﻻ   ;     10	        ;  ﻻ   ;      6	            ;  ﻻ   ;     86	           ;  ﻻ   ;    367	                         ;  ﻻ   ;     40	          ;  ﻻ   ;    123	                ;  ﻻ   ;     12	                  ;  ﻻ   ;     54	             ;  ﻻ   ;    246
    ﻱ   ;  \ufef1 ;    644 ;               ARABIC LETTER YEH ISOLATED FORM	  ;  ﻱ   ;      7	                         ;  ﻱ   ;     78	                ;  ﻱ   ;      5	                  ;  ﻱ   ;     16	                 ;  ﻱ   ;    131	                  ;  ﻱ   ;      0	               ;  ﻱ   ;    114	                    ;  ﻱ   ;     84	                     ;  ﻱ   ;     77	               ;  ﻱ   ;      0	     ;  ﻱ   ;      0	                   ;  ﻱ   ;     20	                  ;  ﻱ   ;      3	                 ;  ﻱ   ;      2	                  ;  ﻱ   ;      0	        ;  ﻱ   ;      0	            ;  ﻱ   ;      1	           ;  ﻱ   ;      7	                         ;  ﻱ   ;      0	          ;  ﻱ   ;     92	                ;  ﻱ   ;      0	                  ;  ﻱ   ;      0	             ;  ﻱ   ;      7
    ّ    ;  \u0651 ;   5540 ;                                 ARABIC SHADDA	  ;  ّ    ;     14	                         ;  ّ    ;    228	                ;  ّ    ;      1	                  ;  ّ    ;    941	                 ;  ّ    ;   1145	                  ;  ّ    ;     12	               ;  ّ    ;    159	                    ;  ّ    ;    645	                     ;  ّ    ;      9	               ;  ّ    ;    764	     ;  ّ    ;      2	                   ;  ّ    ;     50	                  ;  ّ    ;     66	                 ;  ّ    ;     23	                  ;  ّ    ;     18	        ;  ّ    ;      0	            ;  ّ    ;    503	           ;  ّ    ;    296	                         ;  ّ    ;     96	          ;  ّ    ;    360	                ;  ّ    ;     16	                  ;  ّ    ;     57	             ;  ّ    ;    135
    ﺀ   ;  \ufe80 ;   2026 ;             ARABIC LETTER HAMZA ISOLATED FORM	  ;  ﺀ   ;     33	                         ;  ﺀ   ;    206	                ;  ﺀ   ;     93	                  ;  ﺀ   ;    472	                 ;  ﺀ   ;     84	                  ;  ﺀ   ;    126	               ;  ﺀ   ;     71	                    ;  ﺀ   ;    117	                     ;  ﺀ   ;     71	               ;  ﺀ   ;     43	     ;  ﺀ   ;    177	                   ;  ﺀ   ;    218	                  ;  ﺀ   ;     17	                 ;  ﺀ   ;      9	                  ;  ﺀ   ;      1	        ;  ﺀ   ;      6	            ;  ﺀ   ;     36	           ;  ﺀ   ;    102	                         ;  ﺀ   ;     46	          ;  ﺀ   ;     30	                ;  ﺀ   ;      0	                  ;  ﺀ   ;      4	             ;  ﺀ   ;     64
    ﺔ   ;  \ufe94 ;   6783 ;          ARABIC LETTER TEH MARBUTA FINAL FORM	  ;  ﺔ   ;     60	                         ;  ﺔ   ;    348	                ;  ﺔ   ;    532	                  ;  ﺔ   ;   1464	                 ;  ﺔ   ;    326	                  ;  ﺔ   ;    421	               ;  ﺔ   ;    398	                    ;  ﺔ   ;    536	                     ;  ﺔ   ;    592	               ;  ﺔ   ;    488	     ;  ﺔ   ;    657	                   ;  ﺔ   ;    709	                  ;  ﺔ   ;      9	                 ;  ﺔ   ;      6	                  ;  ﺔ   ;      2	        ;  ﺔ   ;      0	            ;  ﺔ   ;     26	           ;  ﺔ   ;    128	                         ;  ﺔ   ;     41	          ;  ﺔ   ;     24	                ;  ﺔ   ;      1	                  ;  ﺔ   ;      0	             ;  ﺔ   ;     15
    ُ    ;  \u064f ;   2555 ;                                  ARABIC DAMMA	  ;  ُ    ;      3	                         ;  ُ    ;    532	                ;  ُ    ;      0	                  ;  ُ    ;      1	                 ;  ُ    ;    228	                  ;  ُ    ;      0	               ;  ُ    ;    301	                    ;  ُ    ;    504	                     ;  ُ    ;     10	               ;  ُ    ;     28	     ;  ُ    ;      0	                   ;  ُ    ;      0	                  ;  ُ    ;      0	                 ;  ُ    ;      0	                  ;  ُ    ;      1	        ;  ُ    ;      0	            ;  ُ    ;    163	           ;  ُ    ;      4	                         ;  ُ    ;     18	          ;  ُ    ;     19	                ;  ُ    ;      6	                  ;  ُ    ;    132	             ;  ُ    ;    605
    ﺼ   ;  \ufebc ;   4217 ;                 ARABIC LETTER SAD MEDIAL FORM	  ;  ﺼ   ;     36	                         ;  ﺼ   ;    259	                ;  ﺼ   ;    269	                  ;  ﺼ   ;    772	                 ;  ﺼ   ;    145	                  ;  ﺼ   ;    186	               ;  ﺼ   ;    144	                    ;  ﺼ   ;    237	                     ;  ﺼ   ;    124	               ;  ﺼ   ;    109	     ;  ﺼ   ;    247	                   ;  ﺼ   ;    432	                  ;  ﺼ   ;    117	                 ;  ﺼ   ;     37	                  ;  ﺼ   ;      3	        ;  ﺼ   ;     12	            ;  ﺼ   ;    139	           ;  ﺼ   ;    469	                         ;  ﺼ   ;     54	          ;  ﺼ   ;    182	                ;  ﺼ   ;      3	                  ;  ﺼ   ;     50	             ;  ﺼ   ;    191
    ﻋ   ;  \ufecb ;  11686 ;                ARABIC LETTER AIN INITIAL FORM	  ;  ﻋ   ;    141	                         ;  ﻋ   ;    501	                ;  ﻋ   ;    569	                  ;  ﻋ   ;   2115	                 ;  ﻋ   ;    480	                  ;  ﻋ   ;    524	               ;  ﻋ   ;    475	                    ;  ﻋ   ;    471	                     ;  ﻋ   ;    296	               ;  ﻋ   ;    274	     ;  ﻋ   ;    767	                   ;  ﻋ   ;   1197	                  ;  ﻋ   ;    496	                 ;  ﻋ   ;    115	                  ;  ﻋ   ;     15	        ;  ﻋ   ;     65	            ;  ﻋ   ;    316	           ;  ﻋ   ;   1285	                         ;  ﻋ   ;    306	          ;  ﻋ   ;    479	                ;  ﻋ   ;      6	                  ;  ﻋ   ;    114	             ;  ﻋ   ;    679
    ﻖ   ;  \ufed6 ;   1681 ;                  ARABIC LETTER QAF FINAL FORM	  ;  ﻖ   ;      8	                         ;  ﻖ   ;     52	                ;  ﻖ   ;     72	                  ;  ﻖ   ;    270	                 ;  ﻖ   ;     81	                  ;  ﻖ   ;     55	               ;  ﻖ   ;     31	                    ;  ﻖ   ;     81	                     ;  ﻖ   ;     35	               ;  ﻖ   ;     80	     ;  ﻖ   ;    118	                   ;  ﻖ   ;    119	                  ;  ﻖ   ;    129	                 ;  ﻖ   ;     35	                  ;  ﻖ   ;      4	        ;  ﻖ   ;      5	            ;  ﻖ   ;     30	           ;  ﻖ   ;    192	                         ;  ﻖ   ;     81	          ;  ﻖ   ;     68	                ;  ﻖ   ;      0	                  ;  ﻖ   ;     19	             ;  ﻖ   ;    116
    َ    ;  \u064e ;   3744 ;                                  ARABIC FATHA	  ;  َ    ;      2	                         ;  َ    ;   1122	                ;  َ    ;      0	                  ;  َ    ;      1	                 ;  َ    ;    556	                  ;  َ    ;      2	               ;  َ    ;    848	                    ;  َ    ;    420	                     ;  َ    ;     14	               ;  َ    ;     58	     ;  َ    ;      0	                   ;  َ    ;      0	                  ;  َ    ;      0	                 ;  َ    ;     67	                  ;  َ    ;     24	        ;  َ    ;      0	            ;  َ    ;    414	           ;  َ    ;      6	                         ;  َ    ;     52	          ;  َ    ;     75	                ;  َ    ;      0	                  ;  َ    ;      0	             ;  َ    ;     83
    ﻈ   ;  \ufec8 ;   1352 ;                 ARABIC LETTER ZAH MEDIAL FORM	  ;  ﻈ   ;     21	                         ;  ﻈ   ;     44	                ;  ﻈ   ;     50	                  ;  ﻈ   ;    238	                 ;  ﻈ   ;     50	                  ;  ﻈ   ;     67	               ;  ﻈ   ;     47	                    ;  ﻈ   ;     50	                     ;  ﻈ   ;     29	               ;  ﻈ   ;     42	     ;  ﻈ   ;     73	                   ;  ﻈ   ;     91	                  ;  ﻈ   ;     93	                 ;  ﻈ   ;      6	                  ;  ﻈ   ;      3	        ;  ﻈ   ;      0	            ;  ﻈ   ;     49	           ;  ﻈ   ;    199	                         ;  ﻈ   ;      9	          ;  ﻈ   ;     85	                ;  ﻈ   ;      0	                  ;  ﻈ   ;     35	             ;  ﻈ   ;     71
    ْ    ;  \u0652 ;   1254 ;                                  ARABIC SUKUN	  ;  ْ    ;      0	                         ;  ْ    ;    485	                ;  ْ    ;      1	                  ;  ْ    ;      0	                 ;  ْ    ;    293	                  ;  ْ    ;      0	               ;  ْ    ;    189	                    ;  ْ    ;     64	                     ;  ْ    ;      0	               ;  ْ    ;     18	     ;  ْ    ;      1	                   ;  ْ    ;      0	                  ;  ْ    ;      0	                 ;  ْ    ;      0	                  ;  ْ    ;      5	        ;  ْ    ;      0	            ;  ْ    ;    170	           ;  ْ    ;      6	                         ;  ْ    ;     12	          ;  ْ    ;      8	                ;  ْ    ;      0	                  ;  ْ    ;      0	             ;  ْ    ;      2
    ﺣ   ;  \ufea3 ;   7261 ;                ARABIC LETTER HAH INITIAL FORM	  ;  ﺣ   ;     73	                         ;  ﺣ   ;    226	                ;  ﺣ   ;    290	                  ;  ﺣ   ;    908	                 ;  ﺣ   ;    295	                  ;  ﺣ   ;    164	               ;  ﺣ   ;    299	                    ;  ﺣ   ;    303	                     ;  ﺣ   ;    247	               ;  ﺣ   ;    116	     ;  ﺣ   ;    304	                   ;  ﺣ   ;    472	                  ;  ﺣ   ;    341	                 ;  ﺣ   ;    115	                  ;  ﺣ   ;     17	        ;  ﺣ   ;     98	            ;  ﺣ   ;    230	           ;  ﺣ   ;   1268	                         ;  ﺣ   ;    327	          ;  ﺣ   ;    454	                ;  ﺣ   ;      4	                  ;  ﺣ   ;    144	             ;  ﺣ   ;    566
    ﻩ   ;  \ufee9 ;   7708 ;               ARABIC LETTER HEH ISOLATED FORM	  ;  ﻩ   ;     21	                         ;  ﻩ   ;    113	                ;  ﻩ   ;    128	                  ;  ﻩ   ;    551	                 ;  ﻩ   ;    175	                  ;  ﻩ   ;    111	               ;  ﻩ   ;    150	                    ;  ﻩ   ;    152	                     ;  ﻩ   ;    124	               ;  ﻩ   ;     83	     ;  ﻩ   ;    184	                   ;  ﻩ   ;    238	                  ;  ﻩ   ;    927	                 ;  ﻩ   ;    143	                  ;  ﻩ   ;     37	        ;  ﻩ   ;     67	            ;  ﻩ   ;    338	           ;  ﻩ   ;   1901	                         ;  ﻩ   ;    247	          ;  ﻩ   ;    784	                ;  ﻩ   ;    201	                  ;  ﻩ   ;    233	             ;  ﻩ   ;    800
    ﻀ   ;  \ufec0 ;   2285 ;                 ARABIC LETTER DAD MEDIAL FORM	  ;  ﻀ   ;     24	                         ;  ﻀ   ;    148	                ;  ﻀ   ;     94	                  ;  ﻀ   ;    391	                 ;  ﻀ   ;    114	                  ;  ﻀ   ;     73	               ;  ﻀ   ;     52	                    ;  ﻀ   ;     97	                     ;  ﻀ   ;     49	               ;  ﻀ   ;     78	     ;  ﻀ   ;    129	                   ;  ﻀ   ;    160	                  ;  ﻀ   ;     71	                 ;  ﻀ   ;     21	                  ;  ﻀ   ;      2	        ;  ﻀ   ;     52	            ;  ﻀ   ;     65	           ;  ﻀ   ;    425	                         ;  ﻀ   ;     30	          ;  ﻀ   ;    103	                ;  ﻀ   ;      0	                  ;  ﻀ   ;     19	             ;  ﻀ   ;     88
    ﻇ   ;  \ufec7 ;    569 ;                ARABIC LETTER ZAH INITIAL FORM	  ;  ﻇ   ;      8	                         ;  ﻇ   ;     17	                ;  ﻇ   ;     16	                  ;  ﻇ   ;    109	                 ;  ﻇ   ;     23	                  ;  ﻇ   ;     12	               ;  ﻇ   ;      7	                    ;  ﻇ   ;     24	                     ;  ﻇ   ;      3	               ;  ﻇ   ;     23	     ;  ﻇ   ;     33	                   ;  ﻇ   ;     27	                  ;  ﻇ   ;     40	                 ;  ﻇ   ;      6	                  ;  ﻇ   ;      1	        ;  ﻇ   ;      1	            ;  ﻇ   ;     24	           ;  ﻇ   ;    113	                         ;  ﻇ   ;      6	          ;  ﻇ   ;     29	                ;  ﻇ   ;      0	                  ;  ﻇ   ;      8	             ;  ﻇ   ;     39
    ٍ    ;  \u064d ;    262 ;                               ARABIC KASRATAN	  ;  ٍ    ;      0	                         ;  ٍ    ;     83	                ;  ٍ    ;      0	                  ;  ٍ    ;      0	                 ;  ٍ    ;     11	                  ;  ٍ    ;      5	               ;  ٍ    ;     18	                    ;  ٍ    ;    132	                     ;  ٍ    ;      1	               ;  ٍ    ;      3	     ;  ٍ    ;      0	                   ;  ٍ    ;      0	                  ;  ٍ    ;      0	                 ;  ٍ    ;      0	                  ;  ٍ    ;      1	        ;  ٍ    ;      0	            ;  ٍ    ;      5	           ;  ٍ    ;      1	                         ;  ٍ    ;      0	          ;  ٍ    ;      2	                ;  ٍ    ;      0	                  ;  ٍ    ;      0	             ;  ٍ    ;      0
    ۸   ;  \u06f8 ;    204 ;             EXTENDED ARABIC-INDIC DIGIT EIGHT	  ;  ۸   ;      0	                         ;  ۸   ;      0	                ;  ۸   ;      4	                  ;  ۸   ;      1	                 ;  ۸   ;      0	                  ;  ۸   ;      0	               ;  ۸   ;      0	                    ;  ۸   ;      0	                     ;  ۸   ;      0	               ;  ۸   ;      0	     ;  ۸   ;      1	                   ;  ۸   ;      0	                  ;  ۸   ;     13	                 ;  ۸   ;      0	                  ;  ۸   ;      0	        ;  ۸   ;      0	            ;  ۸   ;     24	           ;  ۸   ;    138	                         ;  ۸   ;      0	          ;  ۸   ;      0	                ;  ۸   ;      2	                  ;  ۸   ;      2	             ;  ۸   ;     19
